bug,tech,target_cls,package_cls,file_rel,sha256,prompt_rel
Closure-18,DeepSeek V4 Flash,com.google.javascript.jscomp.Compiler,com.google.javascript.jscomp.CompilerDeepseekTest,Deepseek-v4_flash/TestCode/Closure_18b/CompilerDeepseekTest.java,851a6cba41a35c1cdfce34d1a29ca248773d7e3aada3d8f6242f2bfb5b938d7c,Deepseek-v4_flash/Prompt/Closure_18b/actual_prompt_Compiler.md
Closure-22,DeepSeek V4 Flash,com.google.javascript.jscomp.CheckSideEffects,com.google.javascript.jscomp.CheckSideEffectsDeepseekTest,Deepseek-v4_flash/TestCode/Closure_22b/CheckSideEffectsDeepseekTest.java,33d01ff00929bed37f0df94330bdd7bfa1a4a321fe1ab31f9595e464b72494c4,Deepseek-v4_flash/Prompt/Closure_22b/actual_prompt_CheckSideEffects.md
Closure-31,DeepSeek V4 Flash,com.google.javascript.jscomp.Compiler,com.google.javascript.jscomp.CompilerDeepseekTest,Deepseek-v4_flash/TestCode/Closure_31b/CompilerDeepseekTest.java,b8814e2364f981d8267ee4d3d0dd1df3850b8b364a7283b2ad12fe3239672122,Deepseek-v4_flash/Prompt/Closure_31b/actual_prompt_Compiler.md
Collections-8,DeepSeek V4 Flash,org.apache.commons.collections.buffer.UnboundedFifoBuffer,org.apache.commons.collections.buffer.UnboundedFifoBufferDeepseekTest,Deepseek-v4_flash/TestCode/Collections_8b/UnboundedFifoBufferDeepseekTest.java,a29345e99be9ec0b6c0f3f78f167e22f6a4c64d981d7a3581bcc645a1abcc606,Deepseek-v4_flash/Prompt/Collections_8b/actual_prompt_UnboundedFifoBuffer.md
Collections-8,Gemini 3.8 Flash,org.apache.commons.collections.buffer.UnboundedFifoBuffer,org.apache.commons.collections.buffer.UnboundedFifoBufferGeminiTest,Gemini-3_8_flash/TestCode/Collections_8b/UnboundedFifoBufferGeminiTest.java,ab6d7934e3a3d4ff7814ca7e0ce457d8591aa533ff78b2c610a7e576101d2fa1,Gemini-3_8_flash/Prompt/Collections_8b/actual_prompt_UnboundedFifoBuffer.md
Lang-58,DeepSeek V4 Flash,org.apache.commons.lang.math.NumberUtils,org.apache.commons.lang.math.NumberUtilsDeepseekTest,Deepseek-v4_flash/TestCode/Lang_58b/NumberUtilsDeepseekTest.java,fdaddd90292e0eec8653af65c1e271df048974a168c66861cbb9e661395b6e30,Deepseek-v4_flash/Prompt/Lang_58b/actual_prompt_NumberUtils.md
Lang-58,Gemini 3.8 Flash,org.apache.commons.lang.math.NumberUtils,org.apache.commons.lang.math.NumberUtilsGeminiTest,Gemini-3_8_flash/TestCode/Lang_58b/NumberUtilsGeminiTest.java,d6cab2fe714cb7a7be8c53de0232a8ac4647c463e40039c70391f01f2d9297e8,Gemini-3_8_flash/Prompt/Lang_58b/actual_prompt_NumberUtils.md
Closure-41,DeepSeek V4 Flash,com.google.javascript.jscomp.FunctionTypeBuilder,com.google.javascript.jscomp.FunctionTypeBuilderDeepseekTest,Deepseek-v4_flash/TestCode/Closure_41b/FunctionTypeBuilderDeepseekTest.java,ef0e57714cc78a6efce3f1e505e28f57a3c748b2a76854b100ebd530c41bd926,Deepseek-v4_flash/Prompt/Closure_41b/actual_prompt_FunctionTypeBuilder.md
JacksonCore-25,DeepSeek V4 Flash,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com.fasterxml.jackson.core.json.ReaderBasedJsonParserDeepseekTest,Deepseek-v4_flash/TestCode/JacksonCore_25b/ReaderBasedJsonParserDeepseekTest.java,29267a9cc023894af214d4ce05e94faea65a21c6ebe8fa863f646f057ab39854,Deepseek-v4_flash/Prompt/JacksonCore_25b/actual_prompt_ReaderBasedJsonParser.md
Math-9,DeepSeek V4 Flash,org.apache.commons.math3.geometry.euclidean.threed.Line,org.apache.commons.math3.geometry.euclidean.threed.LineDeepseekTest,Deepseek-v4_flash/TestCode/Math_9b/LineDeepseekTest.java,f03521a79759430eddbfa34153ebb182135d8940ddd4ddd96161e05a3047c0a1,Deepseek-v4_flash/Prompt/Math_9b/actual_prompt_Line.md
Math-9,Gemini 3.8 Flash,org.apache.commons.math3.geometry.euclidean.threed.Line,org.apache.commons.math3.geometry.euclidean.threed.LineGeminiTest,Gemini-3_8_flash/TestCode/Math_9b/LineGeminiTest.java,24d7b8467dccb8387e9118a946e8a44df6a7e674bd4b1d73135a8fe1f7d6af59,Gemini-3_8_flash/Prompt/Math_9b/actual_prompt_Line.md
Closure-34,DeepSeek V4 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorDeepseekTest,Deepseek-v4_flash/TestCode/Closure_34b/CodeGeneratorDeepseekTest.java,c8bab734788ab15b9aca23209117054f009e1b978abea60befa46aa435a86cbd,Deepseek-v4_flash/Prompt/Closure_34b/actual_prompt_CodeGenerator.md
Closure-34,DeepSeek V4 Flash,com.google.javascript.jscomp.CodePrinter,com.google.javascript.jscomp.CodePrinterDeepseekTest,Deepseek-v4_flash/TestCode/Closure_34b/CodePrinterDeepseekTest.java,eae56c136e7270e7426cac83b5aa36558d2acb6fae097caad2d6c6053e28f573,Deepseek-v4_flash/Prompt/Closure_34b/actual_prompt_CodePrinter.md
Closure-34,Gemini 3.8 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorGeminiTest,Gemini-3_8_flash/TestCode/Closure_34b/CodeGeneratorGeminiTest.java,d6e2fb3345c3112f86d2a0fc3b7d5374bf999a88cb2c5b91b92577f6802eb82f,Gemini-3_8_flash/Prompt/Closure_34b/actual_prompt_CodeGenerator.md
Closure-34,Gemini 3.8 Flash,com.google.javascript.jscomp.CodePrinter,com.google.javascript.jscomp.CodePrinterGeminiTest,Gemini-3_8_flash/TestCode/Closure_34b/CodePrinterGeminiTest.java,4313ca87e423e5ae3fe78d3a58911a4a103cddd48ef2191bd216c96195e88249,Gemini-3_8_flash/Prompt/Closure_34b/actual_prompt_CodePrinter.md
Closure-42,DeepSeek V4 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryDeepseekTest,Deepseek-v4_flash/TestCode/Closure_42b/IRFactoryDeepseekTest.java,88720c1a172c8e7aacf84466796ccc04bb8106c3ce46a2d05a30d9f9d03047dd,Deepseek-v4_flash/Prompt/Closure_42b/actual_prompt_IRFactory.md
Closure-42,Gemini 3.8 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryGeminiTest,Gemini-3_8_flash/TestCode/Closure_42b/IRFactoryGeminiTest.java,fd2e3786f757826c7565b6a3f9edc871e048ba42ff0d20282875522af26d412b,Gemini-3_8_flash/Prompt/Closure_42b/actual_prompt_IRFactory.md
Closure-52,DeepSeek V4 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorDeepseekTest,Deepseek-v4_flash/TestCode/Closure_52b/CodeGeneratorDeepseekTest.java,0fa3e695b40fd6c5cbd24b4e518f47ca169076f27a245dc2ae9bff3237d9d7a2,Deepseek-v4_flash/Prompt/Closure_52b/actual_prompt_CodeGenerator.md
